distance_m,wavelength_nm,attenuation_per_m,optical_depth,transmittance,path_loss_db
4.0,540.0,4.895806698389e-02,1.958322679356e-01,8.221501240512e-01,0.850488733
4.0,542.0,5.021639895350e-02,2.008655958140e-01,8.180223697964e-01,0.872348199
4.0,544.0,5.177514491951e-02,2.071005796780e-01,8.129378808452e-01,0.899426390
4.0,546.0,5.359429536727e-02,2.143771814691e-01,8.070439255946e-01,0.931028270
4.0,548.0,5.558384103828e-02,2.223353641531e-01,8.006468110659e-01,0.965590218
4.0,550.0,5.760377292229e-02,2.304150916892e-01,7.942038666482e-01,1.000680029
6.0,350.0,9.889596205244e-03,5.933757723146e-02,9.423885865245e-01,0.257699824
6.0,352.0,9.716301458359e-03,5.829780875015e-02,9.433689620674e-01,0.253184166
6.0,354.0,9.530050616577e-03,5.718030369946e-02,9.444237709145e-01,0.248330904
6.0,356.0,9.330572014292e-03,5.598343208575e-02,9.455548016315e-01,0.243132956
6.0,358.0,9.137606428434e-03,5.482563857060e-02,9.466501928451e-01,0.238104723
6.0,360.0,9.010906417364e-03,5.406543850418e-02,9.473701099904e-01,0.234803216
6.0,362.0,8.910235699738e-03,5.346141419843e-02,9.479425174200e-01,0.232179972
6.0,364.0,8.775368570623e-03,5.265221142374e-02,9.487099055798e-01,0.228665649
6.0,366.0,8.606089352376e-03,5.163653611426e-02,9.496739763153e-01,0.224254627
