distance_m,received_power_w,photon_energy_j,bit_duration_s,mean_received_photons_per_bit,detector_efficiency,mean_detected_photons_per_bit
554.0,1.2421506049764717e-07,4.775110233531078e-19,5e-08,13006.512354982133,0.8941168156240403,11629.341409211362
556.0,1.2157883325054807e-07,4.775110233531078e-19,5e-08,12730.473989565206,0.8941168156240403,11382.530864934713
558.0,1.1900161242480238e-07,4.775110233531078e-19,5e-08,12460.614164377475,0.8941168156240403,11141.244657373001
560.0,1.1648199483245421e-07,4.775110233531078e-19,5e-08,12196.785952134827,0.8941168156240403,10905.35141637082
562.0,1.1401861298303345e-07,4.775110233531078e-19,5e-08,11938.846163423483,0.8941168156240403,10674.723113865495
564.0,1.1161013410634753e-07,4.775110233531078e-19,5e-08,11686.655244376896,0.8941168156240403,10449.23497239826
566.0,1.0925525920417632e-07,4.775110233531078e-19,5e-08,11440.077177379077,0.8941168156240403,10228.76537633144
568.0,1.069527221299445e-07,4.775110233531078e-19,5e-08,11198.979384697424,0.8941168156240403,10013.195785684935
570.0,1.047012886954777e-07,4.775110233531078e-19,5e-08,10963.232634951511,0.8941168156240403,9802.410652508403
572.0,1.0249975580398122e-07,4.775110233531078e-19,5e-08,10732.710952327601,0.8941168156240403,9596.297339708417
574.0,1.0034695060840582e-07,4.775110233531078e-19,5e-08,10507.291528451446,0.8941168156240403,9394.746042252462
576.0,9.824172969439978e-08,4.775110233531078e-19,5e-08,10286.854636835515,0.8941168156240403,9197.649710674765
578.0,9.618297828706719e-08,4.775110233531078e-19,5e-08,10071.283549818934,0.8941168156240403,9004.903976810887
580.0,9.416960948078462e-08,4.775110233531078e-19,5e-08,9860.464457921893,0.8941168156240403,8816.407081691152
582.0,9.220056349135134e-08,4.775110233531078e-19,5e-08,9654.286391538573,0.8941168156240403,8632.059805524976
584.0,9.027480692977151e-08,4.775110233531078e-19,5e-08,9452.64114489515,0.8941168156240403,8451.765399710433
586.0,8.83913320969947e-08,4.775110233531078e-19,5e-08,9255.423202202333,0.8941168156240403,8275.429520806008
588.0,8.654915629895923e-08,4.775110233531078e-19,5e-08,9062.52966593383,0.8941168156240403,8102.960166403153
590.0,8.47473211813078e-08,4.775110233531078e-19,5e-08,8873.860187164642,0.8941168156240403,7934.267612840601
592.0,8.298489208316564e-08,4.775110233531078e-19,5e-08,8689.316897905446,0.8941168156240403,7769.264354703382
594.0,8.126095740939119e-08,4.775110233531078e-19,5e-08,8508.804345371173,0.8941168156240403,7607.86504605127
596.0,7.957462802072834e-08,4.775110233531078e-19,5e-08,8332.229428124096,0.8941168156240403,7449.986443323235
598.0,7.792503664131168e-08,4.775110233531078e-19,5e-08,8159.5013340339165,0.8941168156240403,7295.547349866514
600.0,7.631133728298913e-08,4.775110233531078e-19,5e-08,7990.531479998814,0.8941168156240403,7144.46856204019
602.0,7.473270468594956e-08,4.775110233531078e-19,5e-08,7825.23345337376,0.8941168156240403,6996.672816845259
604.0,7.318833377515558e-08,4.775110233531078e-19,5e-08,7663.522955053812,0.8941168156240403,6852.08474103445
606.0,7.167743913210062e-08,4.775110233531078e-19,5e-08,7505.31774416199,0.8941168156240403,6710.6308016567245
608.0,7.01992544814251e-08,4.775110233531078e-19,5e-08,7350.537584293049,0.8941168156240403,6572.2392579929265
610.0,6.875303219194001e-08,4.775110233531078e-19,5e-08,7199.104191265843,0.8941168156240403,6436.840114840297
